symbol,sector,industry,longName,volume,profitMargins,sharesOutstanding,regularMarketPreviousClose,trailingPE,priceToBook
1582.HK,Industrials,Engineering & Construction,CR Construction Group Holdings Limited,187500,0.01207,500000000,0.65,,0.64128256
1583.HK,Consumer Defensive,Packaged Foods,Qinqin Foodstuffs Group (Cayman) Company Limited,2000,0.05915,675097024,2.39,,10.438597
1585.HK,Consumer Cyclical,Recreational Vehicles,Yadea Group Holdings Ltd.,452000,0.044239998,2995000064,1.94,,14.923078
1586.HK,Industrials,Specialty Business Services,China Leon Inspection Holding Limited,40000,0.052470002,400000000,1.2,,16
1587.HK,Consumer Defensive,Food Distribution,Shineroad International Holdings Limited,104000,0.05467,680000000,0.48,,8.333333
1588.HK,Technology,Software—Application,Chanjet Information Technology Company Limited,18600,0.25067,55000000,8.01,6.093864,8.45666
1589.HK,Industrials,Integrated Freight & Logistics,"China Logistics Property Holdings Co., Ltd",25000,0.69841003,3232659968,3.05,,6.2886596
1591.HK,Industrials,Engineering & Construction,Shun Wo Group Holdings Limited,220000,-0.16595,4000000000,0.039,,1.2903225
1592.HK,Industrials,Building Products & Equipment,Anchorstone Holdings Limited,1000000,0.06589,1200000000,0.255,,1.908397
1596.HK,Industrials,Railroads,Hebei Yichen Industrial Group Corporation Limited,108000,0.15941,224460000,4.79,,
1598.HK,Consumer Defensive,Education & Training Services,China 21st Century Education Group Limited,87000,0.41406,1209030016,0.75,,11.19403
1599.HK,Industrials,Engineering & Construction,"Beijing Urban Construction Design & Development Group Co., Limited",714000,0.082150005,387936992,2.21,4.854878,5.0110373
1600.HK,Utilities,Utilities—Regulated Gas,China Tian Lun Gas Holdings Limited,1541000,0.119219996,999614976,6.85,11.023823,15.929979
1606.HK,Financial Services,Credit Services,"China Development Bank Financial Leasing Co., Ltd.",4000,0.32532,3456620032,1.34,,5
1608.HK,Industrials,Electrical Equipment & Parts,VPower Group International Holdings Limited,334000,0.07926,2562230016,2.43,,2.27704
1609.HK,Industrials,Engineering & Construction,Chong Kin Group Holdings Limited,16000,-0.22845,917760000,3.3,,3.6324787
1610.HK,Consumer Defensive,Packaged Foods,COFCO Meat Holdings Limited,1831000,-0.029159999,3902000128,2.38,,11.948718
1611.HK,Technology,Electronic Components,Huobi Technology Holdings Limited,32000,0.01129,305495008,4.77,,10.909091
1612.HK,Healthcare,Medical Devices,Vincent Medical Holdings Limited,218000,0.062480003,637649984,0.6,,1.0050251
1613.HK,Technology,Communication Equipment,Synertone Communication Corporation,8000,3.1478698,4301819904,0.073,1.3779528,3.1818182
1615.HK,Industrials,Engineering & Construction,AB Builders Group Limited,375000,0.07809,600000000,0.285,,
1616.HK,Consumer Cyclical,Textile Manufacturing,Starrise Media Holdings Limited,30000,-0.02262,1416909952,1.27,47.03181,10.079365
1617.HK,Technology,Communication Equipment,Nanfang Communication Holdings Limited,24000,0.14854,1120000000,4.27,,40.28302
1618.HK,Industrials,Engineering & Construction,Metallurgical Corporation of China Ltd.,354334,0.01974,2871000064,1.63,5.5398664,2.6797385
1620.HK,Consumer Cyclical,Travel Services,Cteh Inc.,360000,0.122480005,1200000000,0.16,,1.1751825
1621.HK,Energy,Oil & Gas Refining & Marketing,Vico International Holdings Limited,24000,0.017860001,1000000000,0.132,,0.7586207
1622.HK,Real Estate,Real Estate—Development,Redco Properties Group Limited,2130678,0.15293999,3551610112,4.06,12.951188,21.666668
1623.HK,Energy,Oil & Gas Equipment & Services,Hilong Holding Limited,805000,0.06337,1696440064,0.84,8.412197,2.8571427
1626.HK,Consumer Cyclical,Packaging & Containers,Jia Yao Holdings Limited,46000,-0.01921,300000000,1.7,,
1627.HK,Industrials,Engineering & Construction,Able Engineering Holdings Limited,320000,0.08316,2000000000,0.475,,0.7251909
1628.HK,Real Estate,Real Estate—Development,Yuzhou Properties Company Limited,4860050,0.14284,5221550080,3.88,4.3688383,6.3711
1629.HK,Consumer Cyclical,Packaging & Containers,Champion Alliance International Holdings Limited,28000,0.0038400001,500000000,3.9,,
1630.HK,Industrials,Engineering & Construction,Kin Shing Holdings Limited,3330000,-0.02832,1500000000,0.099,,0.8803419
1631.HK,Industrials,Specialty Business Services,REF Holdings Limited,5000,0.18096,256000000,0.58,,0.6568516
1632.HK,Consumer Cyclical,Restaurants,Minshang Creative Technology Holdings Limited,4000,-0.08387,858918016,0.475,,2.784091
1633.HK,Industrials,Engineering & Construction,Sheung Yue Group Holdings Limited,420000,-0.08095,684750016,0.225,,0.80971664
1635.HK,Utilities,Utilities—Regulated Gas,"Shanghai Dazhong Public Utilities(Group) Co.,Ltd.",5000,0.0845,533643008,2.49,,6.831956
1636.HK,Basic Materials,Copper,China Metal Resources Utilization Limited,432000,0.00017000001,2631600128,3.56,36.908833,35.049503
1637.HK,Industrials,Engineering & Construction,SH Group (Holdings) Limited,78000,0.06087,400000000,0.42,,0.66235864
1638.HK,Real Estate,Real Estate—Development,Kaisa Group Holdings Ltd.,9703316,0.088690005,6063730176,3.14,6.2428994,6.2403107
1639.HK,Technology,Electronic Components,AKM Industrial Company Limited,140000,0.03458,1538240000,1.25,,1.642764
1647.HK,Industrials,Engineering & Construction,Grandshores Technology Group Limited,1740000,0.03097,1033910016,0.49,,14.166667
1649.HK,Industrials,Engineering & Construction,"Inner Mongolia Energy Engineering Co., Ltd.",26000,0.07343,,1.19,,
1651.HK,Industrials,Tools & Accessories,Precision Tsugami (China) Corporation Limited,11000,0.10902,381369984,7.0,,10.935024
1652.HK,Healthcare,Drug Manufacturers—Specialty & Generic,Fusen Pharmaceutical Company Limited,9000,0.18634,800000000,4.5,,74.91525
1653.HK,Industrials,Building Products & Equipment,MOS House Group Limited,20000,-0.01534,2000000000,0.073,,1.7111111
1655.HK,Consumer Cyclical,Gambling,Okura Holdings Limited,5000,0.07368,500000000,1.1,,5.5837564
1656.HK,Industrials,Engineering & Construction,ISDN Holdings Limited,2000,0.020539999,429572992,1.21,,4.6494465
1658.HK,Financial Services,Banks—Regional,"Postal Savings Bank of China Co., Ltd.",13530300,0.27734,19856199680,5.21,,6.6329107
1659.HK,Utilities,Utilities—Renewable,Haitian Energy International Limited,64000,0.10154,9136000000,0.135,,
1660.HK,Industrials,Industrial Distribution,Zhaobangji Properties Holdings Limited,144000,0.14837,6194999808,1.23,,22.777777
1661.HK,Communication Services,Entertainment,Wisdom Sports Group,304000,-0.77219003,1592940032,0.191,2.5857036,1.6909091
1662.HK,Industrials,Engineering & Construction,Yee Hop Holdings Limited,480000,0.05404,500000000,1.96,,2.8718703
1663.HK,Real Estate,Real Estate Services,Sino Harbour Holdings Group Limited,402000,0.13367,2464000000,0.151,15.4018755,1.819277
1665.HK,Industrials,Specialty Industrial Machinery,Pentamaster International Limited,952000,0.26143998,1600000000,2.09,,46.44444
1666.HK,Healthcare,Drug Manufacturers—General,Tong Ren Tang Technologies Co. Ltd.,780000,0.13274,628704000,6.84,11.516957,11.622073
1668.HK,Real Estate,Real Estate—Diversified,China South City Holdings Limited,396000,0.27835,8107230208,0.9,2.2563848,0.21859236
1669.HK,Financial Services,Credit Services,Global International Credit Group Limited,16000,0.57945997,400000000,0.62,,0.32392895
1671.HK,Utilities,Utilities—Independent Power Producers,"Tianjin Tianbao Energy Co., Ltd.",26000,0.044060003,44320000,1.09,,3.9426522
1672.HK,Healthcare,Biotechnology,Ascletis Pharma Inc.,1084000,-0.69995004,1107280000,3.31,,21.39073
1673.HK,Industrials,Specialty Industrial Machinery,Huazhang Technology Holding Limited,4000,-0.16790001,733857024,3.09,52.56443,19.192547
1675.HK,Technology,Software—Application,Asiainfo Technologies Limited,179200,0.0342,725708032,8.81,,16.444445
1676.HK,Consumer Defensive,Packaged Foods,China Shenghai Food Holdings Company Limited,100000,0.106000006,1000000000,0.13,,2.096774
1678.HK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",China Creative Global Holdings Limited,310000,-2.4585001,2169999872,0.079,,0.55172414
1679.HK,Technology,Semiconductors,Risecomm Group Holdings Limited,1547500,-0.07002,986619008,1.36,,19.428572
1680.HK,Consumer Cyclical,Resorts & Casinos,Macau Legend Development Limited,1140000,-0.49866,6252720128,1.01,,0.8326463
1681.HK,Healthcare,Drug Manufacturers—Specialty & Generic,Consun Pharmaceutical Group Limited,166000,0.25877002,865212992,4.52,8.264853,13.451327
1682.HK,Consumer Cyclical,Apparel Manufacturing,Hang Pin Living Technology Company Limited,32000,-0.06948,655926976,0.375,550,2.264706
1683.HK,Industrials,Engineering & Construction,Hope Life International Holdings Limited,152000,0.02743,500000000,1.14,,3.8162546
1685.HK,Industrials,Industrial Distribution,Boer Power Holdings Limited,81000,-1.30981,773769024,0.26,,1.3571428
1686.HK,Technology,Information Technology Services,SUNeVision Holdings Ltd.,247990,0.53239,2325349888,5.08,,4.903101
1689.HK,Consumer Cyclical,Packaging & Containers,Huaxi Holdings Company Limited,146000,0.23813,694080000,2.1,,3.7906134
1693.HK,Industrials,Engineering & Construction,BGMC International Limited,96000,-0.18901,1800000000,0.126,,2.8888886
1695.HK,Consumer Defensive,Packaged Foods,S&P International Holding Limited,105000,0.05617,1080000000,0.114,,4.2222223
1696.HK,Healthcare,Medical Devices,Sisram Medical Ltd,33633,0.14756,442156000,4.25,,5.878285
1697.HK,Financial Services,Asset Management,"Shandong International Trust Co., Ltd.",214200,0.70389,1164729984,0.86,,2.8813562
1699.HK,Consumer Defensive,Farm Products,China Putian Food Holding Limited,196000,0.044109996,1888999936,0.305,,5.3508773
1700.HK,Consumer Cyclical,Department Stores,Springland International Holdings Limited,975000,0.07993,1970000000,2.14,9.892112,6.369048
1701.HK,Consumer Cyclical,Travel Services,Tu Yi Holding Company Limited,1168000,0.10248999,1000000000,0.72,,
1702.HK,Basic Materials,Agricultural Inputs,Dongguang Chemical Limited,32000,0.064229995,620944000,1.55,,6.540084
1703.HK,Consumer Cyclical,Restaurants,Palace Banquet Holdings Limited,40000,0.027880002,1000000000,0.31,,1.4903846
1705.HK,Consumer Defensive,Food Distribution,B & S International Holdings Ltd.,8000,0.0113699995,400000000,0.63,,1.8318318
1707.HK,Industrials,Engineering & Construction,Geotech Holdings Ltd.,272000,-0.0032600001,1680000000,0.35,,2.090909
1708.HK,Technology,Communication Equipment,Nanjing Sample Technology Company Limited,943500,0.10637,229500000,5.29,18.584227,13.957784
1709.HK,Consumer Cyclical,Apparel Manufacturing,Season Pacific Holdings Limited,3104000,-0.13643,1123800064,0.52,,4.690265
1710.HK,Industrials,Electrical Equipment & Parts,Trio Industrial Electronics Group Limited,16000,0.05272,1000000000,0.275,,0.77142864
1711.HK,Consumer Cyclical,Specialty Retail,Ulferts International Limited,20000,-0.02849,800000000,0.164,,1.312
1712.HK,Basic Materials,Gold,Dragon Mining Limited,1000,-0.037890002,0,1.65,,7.466063
1713.HK,Utilities,Utilities—Renewable,"Sichuan Energy Investment Development Co., Ltd.",298000,0.07896,268800000,1.76,,4.3069305
1715.HK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Miji International Holdings Limited,200000,0.09922,1500000000,0.27,,30.000002
1716.HK,Communication Services,Advertising Agencies,Most Kwai Chung Limited,116000,0.15317,270000000,0.74,,1.8703243
1717.HK,Consumer Defensive,Packaged Foods,Ausnutria Dairy Corporation Ltd,807000,0.12778,1609430016,9.14,17.677082,46.56863
1718.HK,Industrials,Engineering & Construction,Wan Kei Group Holdings Limited,3610000,-0.16777,960000000,0.67,,2.5
1719.HK,Industrials,Infrastructure Operations,China Infrastructure & Logistics Group Ltd.,2736000,0.25066,1725069952,0.78,,2.0430107
1720.HK,Technology,Communication Equipment,Putian Communication Group Limited,32000,0.09443,1100000000,1.74,,35.399998
1721.HK,Industrials,Metal Fabrication,FSM Holdings Limited,3490000,0.16360001,1000000000,0.5,,29.411762
1722.HK,Industrials,Engineering & Construction,Kin Pang Holdings Limited,20000,0.04486,1000000000,0.19,,
1723.HK,Communication Services,Telecom Services,HK Asia Holdings Limited,16000,0.13742,400000000,4.4,,11.167883
1725.HK,Industrials,Electrical Equipment & Parts,Eternity Technology Holdings Limited,2525000,0.03806,300000000,1.84,,26
1726.HK,Industrials,Engineering & Construction,HKE Holdings Limited,105000,0.21749,800000000,0.4,,16.875
1727.HK,Industrials,Engineering & Construction,Hebei Construction Group Corporation Limited,579888,0.02406,461383008,4.69,,11.637279
1728.HK,Consumer Cyclical,Auto & Truck Dealerships,China ZhengTong Auto Services Holdings Limited,1768000,0.02727,2452219904,2.39,4.2769566,3.3061225
1729.HK,Industrials,Electrical Equipment & Parts,Time Interconnect Technology Limited,1024000,0.08737001,1840000000,0.44,,1.407767
1730.HK,Real Estate,Real Estate Services,LHN Limited,34000,0.07369,402444992,0.69,,4.3125
1731.HK,Consumer Cyclical,Footwear & Accessories,Prosperous Industrial (Holdings) Limited,3756000,0.02319,1120000000,0.385,,2.96
1732.HK,Industrials,Integrated Freight & Logistics,Xiangxing International Holding Limited,220000,0.08036,1000000000,0.265,,
1733.HK,Energy,Thermal Coal,E-Commodities Holdings Limited,132000,0.020079998,3041200128,0.35,1.2412586,0.3336466
1735.HK,Industrials,Engineering & Construction,Central Holding Group Co. Ltd.,96000,-0.11046,264000000,7.18,,11.748807
1736.HK,Communication Services,Advertising Agencies,China Parenting Network Holdings Limited,12000,0.2147,1025660032,0.243,,4.118644
1738.HK,Energy,Thermal Coal,Feishang Anthracite Resources Limited,2500,0.11572,1380550016,1.13,,
1739.HK,Communication Services,Internet Content & Information,Qeeka Home (Cayman) Inc.,112500,0.01819,1198189952,2.2,,
1741.HK,Industrials,Engineering & Construction,Ri Ying Holdings Limited,56000,0.022750001,800000000,1.89,,6.7058825
1742.HK,Industrials,Engineering & Construction,HPC Holdings Limited,880000,0.05865,1600000000,0.149,,5.1034484
1743.HK,Technology,Scientific & Technical Instruments,Zhejiang Cangnan Instrument Group Company Limited,31000,0.36687002,17901200,16.96,,9.199562
1746.HK,Industrials,Engineering & Construction,Man Shun Group (Holdings) Limited,12000,0.03757,1000000000,0.44,,2.7777777
1748.HK,Industrials,Marine Shipping,Xin Yuan Enterprises Group Limited,40000,0.10847,400000000,1.38,,4.9999995
1749.HK,Consumer Cyclical,Apparel Manufacturing,"Shanshan Brand Management Co., Ltd.",2736000,0.03373,33400000,1.22,,4.5033116
1750.HK,Industrials,Specialty Industrial Machinery,REM Group (Holdings) Limited,50000,0.06746,1800000000,0.11,,0.9734513
1751.HK,Industrials,Engineering & Construction,Kingland Group Holdings Limited,700000,0.0507,672000000,0.161,,0.91847825
1752.HK,Consumer Defensive,Education & Training Services,Top Education Group Ltd,2390000,0.15907,2518360064,0.295,,19.666666
1753.HK,Communication Services,Advertising Agencies,Duiba Group Limited,746400,-0.28954,1084249984,4.82,,
1755.HK,Real Estate,Real Estate Services,"S-Enjoy Service Group Co., Limited",1254000,0.1415,820000000,11.12,,245.21739
1756.HK,Consumer Defensive,Education & Training Services,Huali University Group Limited,58000,0.33056,1200000000,2.7,,
1757.HK,Industrials,Engineering & Construction,Affluent Foundation Holdings Limited,80000,-0.35580003,1200000000,0.173,,2.2337663
1758.HK,Consumer Defensive,Education & Training Services,Bojun Education Company Limited,320000,0.07852,821856000,0.45,,3.0333333
1759.HK,Consumer Cyclical,Specialty Retail,Sino Gas Holdings Group Limited,101000,0.02201,216000000,3.1,,18.235292
1760.HK,Consumer Cyclical,Auto Parts,Intron Technology Holdings Limited,112000,0.0699,1035969984,2.65,,37.183098
1761.HK,Communication Services,Internet Content & Information,BabyTree Group,8000,4.38829,1663640064,1.84,,
1762.HK,Communication Services,Advertising Agencies,Wanka Online Inc.,196000,0.26989,1210720000,1.75,,
1763.HK,Healthcare,Diagnostics & Research,China Isotope & Radiation Corporation,36400,0.10037,79968800,20.3,,16.570961
1765.HK,Consumer Defensive,Education & Training Services,"Hope Education Group Co., Ltd.",1548000,0.25332,6666670080,1.39,,32.558136
1766.HK,Industrials,Railroads,CRRC Corporation Limited,2090830,0.051170003,4371069952,5.1,11.5526495,7.7845225
1769.HK,Consumer Defensive,Education & Training Services,Scholar Education Group,407500,0.12485,555699968,10.4,,
1771.HK,Consumer Cyclical,Auto & Truck Dealerships,Sunfonda Group Holdings Limited,29000,0.019550001,600000000,0.94,3.1362083,2.0042644
1772.HK,Basic Materials,Chemicals,"Ganfeng Lithium Co., Ltd.",297200,0.103199996,200186000,18.12,,25.945164
1773.HK,Consumer Defensive,Education & Training Services,Tianli Education International Holdings Limited,1534000,0.30458,2075000064,3.19,,33.870968
1775.HK,Consumer Defensive,Education & Training Services,BExcellent Group Holdings Limited,4000,0.03194,500000000,0.52,,1.3756614
1776.HK,Financial Services,Capital Markets,"GF Securities Co., Ltd.",817403,0.28145,1701799936,8.61,6.4144344,5.072971
1777.HK,Real Estate,Real Estate Services,"Fantasia Holdings Group Co., Limited",1123500,0.041890003,5762939904,1.33,9.380276,4.141104
1778.HK,Real Estate,Real Estate Services,"Colour Life Services Group Co., Limited",798000,0.14328,1399789952,4.17,10.882915,13.043478
1780.HK,Industrials,Engineering & Construction,B & D Strategic Holdings Limited,3427500,0.12828,620000000,0.93,,1.90372
1781.HK,Consumer Cyclical,Packaging & Containers,Sun Cheong Creative Development Holdings Limited,1038000,0.09175,540000000,0.232,,0.6388889
1782.HK,Technology,Software—Application,Vixtel Technologies Holdings Limited,80000,0.24320999,508000000,0.75,,15.31915
1783.HK,Industrials,Engineering & Construction,Golden Ponder Holdings Limited,140000,0.03815,800000000,0.195,,0.85106385
1785.HK,Industrials,Infrastructure Operations,"Chengdu Expressway Co., Ltd.",65000,0.42509997,456102016,2.17,,1.1208678
1786.HK,Industrials,Specialty Industrial Machinery,CRCC High-Tech Equipment Corporation Limited,1338000,0.070650004,531900000,1.19,,2.1892393
1787.HK,Basic Materials,Gold,"Shandong Gold Mining Co., Ltd.",460500,0.01377,499644992,16.54,,10.295567
1788.HK,Financial Services,Capital Markets,Guotai Junan International Holdings Limited,256921,0.31995,7715670016,1.27,12.095239,0.85464334
1789.HK,Healthcare,Medical Devices,AK Medical Holdings Limited,852000,0.26607,1043350016,8.83,,79.72973
1790.HK,Industrials,Waste Management,TIL Enviro Limited,150000,0.19981001,1000000000,0.485,,0.48913047
1792.HK,Communication Services,Electronic Gaming & Multimedia,CMON Limited,350000,0.16235,1806000000,0.11,,9.916667
1793.HK,Industrials,Engineering & Construction,Wecon Holdings Limited,56000,0.043319996,800000000,0.25,,0.77813506
1796.HK,Industrials,Building Products & Equipment,Yield Go Holdings Ltd.,142000,0.04398,480000000,0.67,,1.7866668
1797.HK,Consumer Defensive,Education & Training Services,Koolearn Technology Holding Limited,905000,-0.04328,936336000,18.78,,
1798.HK,Utilities,Utilities—Renewable,"China Datang Corporation Renewable Power Co., Limited",764000,0.13564,2501070080,0.79,4.6163197,3.1225297
1799.HK,Technology,Solar,"Xinte Energy Co., Ltd.",4000,0.0448,313476000,5.0,,3.4843206
1800.HK,Industrials,Engineering & Construction,China Communications Construction Company Limited,2692070,0.03754,4427500032,6.01,4.5503554,3.6735942
1801.HK,Healthcare,Biotechnology,"Innovent Biologics, Inc.",1017987,0.0,1257319936,26.7,,
1803.HK,Consumer Cyclical,Leisure,Beijing Sports and Entertainment Industry Group Limited,127500,-0.53714,1302019968,0.28,,0.94736844
1806.HK,Technology,Software—Infrastructure,Huifu Payment Limited,414400,0.06408,1247069952,2.84,,12.837837
1808.HK,Technology,Software—Application,Enterprise Development Holdings Limited,134000,-0.27413,526508992,0.31,,6.4999995
1809.HK,Consumer Cyclical,Auto Parts,Prinx Chengshan (Cayman) Holding Limited,139500,0.09072,635000000,7.82,,13.25658
1810.HK,Technology,Consumer Electronics,Xiaomi Corporation,217704368,0.05682,17298499584,9.21,,20.521921
1811.HK,Utilities,Utilities—Independent Power Producers,"CGN New Energy Holdings Co., Ltd.",226000,0.06978,4290820096,1.08,2.3325982,5.1428576
1812.HK,Basic Materials,Paper & Paper Products,Shandong Chenming Paper Holdings Limited,363500,0.04002,528304992,3.05,5.3040714,2.867784
1813.HK,Real Estate,Real Estate—Development,KWG Group Holdings Limited,14822082,0.5339,3174799872,10.06,7.039896,7.456395
1815.HK,Consumer Cyclical,Luxury Goods,CSMall Group Limited,12500,0.06239,1237880064,0.75,,4.30303
1816.HK,Utilities,Utilities—Independent Power Producers,"CGN Power Co., Ltd.",4637341,0.17748,11163599872,2.02,8.101528,8.638298
1817.HK,Consumer Cyclical,Apparel Retail,Mulsanne Group Holding Limited,338500,0.08956,950000000,7.64,,
1818.HK,Basic Materials,Gold,Zhaojin Mining Industry Company Limited,935676,0.057740003,1049209984,8.02,47.485214,12.955272
1820.HK,Consumer Cyclical,Packaging & Containers,Pacific Millennium Packaging Group Corporation,1000,0.034089997,300632000,4.5,,16.363636
1821.HK,Real Estate,Real Estate Services,ESR Cayman Limited,653200,0.56466,3044969984,16.56,,20.841583
1822.HK,Technology,Electronic Components,HongDa Financial Holding Limited,7860000,-0.64391,6810749952,0.012,,0.13793103
1823.HK,Industrials,Infrastructure Operations,Huayu Expressway Group Limited,10000,0.27113,412608000,1.02,26.041666,1.0638298
1825.HK,Consumer Cyclical,Apparel Manufacturing,Sterling Group Holdings Limited,400000,-0.04111,800000000,0.128,,0.8827587
1826.HK,Industrials,Engineering & Construction,Dafy Holdings Limited,2500000,0.11771,1232000000,1.28,,7.5595236
1827.HK,Consumer Cyclical,Personal Services,Miricor Enterprises Holdings Limited,5000,0.12769,400000000,0.99,,2.58312
1828.HK,Consumer Cyclical,Auto & Truck Dealerships,Dah Chong Hong Holdings Limited,4789000,0.01459,1891250048,3.64,8.231293,0.7022635
1829.HK,Industrials,Engineering & Construction,China Machinery Engineering Corporation,514000,0.07221,908270016,3.02,6.1234994,5.355872
1830.HK,Consumer Cyclical,Personal Services,Perfect Shape Medical Limited,948000,0.30573,1127650048,2.92,10.276816,5.5722327
1831.HK,Communication Services,Advertising Agencies,ShiFang Holding Limited,40000,-2.85847,757598976,0.2,,9.263158
1832.HK,Consumer Cyclical,Lodging,S.A.I Leisure Group Company Limited,27000,0.102239996,360000000,2.0,,7.380074
1833.HK,Healthcare,Health Information Services,Ping An Healthcare and Technology Company Limited,426900,-0.1649,1067289984,53.25,,35.2649
1835.HK,Financial Services,Asset Management,"Shanghai Realway Capital Assets Management Co., Ltd.",216400,0.26588,38340000,5.0,,16.722408
1836.HK,Consumer Cyclical,Footwear & Accessories,Stella International Holdings Limited,190886,0.05091,794380032,12.7,19.593307,10.73294
1837.HK,Consumer Defensive,Packaged Foods,Natural Food International Holding Limited,468000,0.07604,2188189952,1.44,,76.84211
1838.HK,Real Estate,Real Estate—Development,China Properties Group Limited,20000,0.98974,1809080064,0.82,3.6009133,0.26048285
1839.HK,Industrials,Farm & Heavy Construction Machinery,"CIMC Vehicle (Group) Co., Ltd.",259500,0.050819997,1764999936,5.77,,
1841.HK,Industrials,Specialty Business Services,A.Plus Group Holdings Limited,20000,0.15855,400000000,0.63,,1.9005847
1842.HK,Consumer Cyclical,Footwear & Accessories,Grown Up Group Investment Holdings Limited,24000,0.038039997,1000000000,0.55,,3.8461537
1843.HK,Consumer Cyclical,Restaurants,Snack Empire Holdings Limited,11260000,0.16249001,800000000,0.5,,
1845.HK,Industrials,Waste Management,Weigang Environmental Technology Holding Group Limited,108000,0.0863,1333340032,0.6,,42.666668
1846.HK,Healthcare,Medical Care Facilities,EuroEyes International Eye Clinic Limited,117000,0.0596,329233984,9.04,,
1848.HK,Industrials,Airports & Air Services,China Aircraft Leasing Group Holdings Limited,122000,0.48139,677268992,8.02,7.408088,1.5297021
1849.HK,Communication Services,Advertising Agencies,AM Group Holdings Limited,110000,0.0933,800000000,0.242,,
1850.HK,Industrials,Security & Protection Services,WINDMILL Group Limited,160000,0.07681,800000000,0.305,,1.9325153
1851.HK,Consumer Defensive,Education & Training Services,China Gingko Education Group Company Limited,42000,0.17797,500000000,1.8,,13.615385
1853.HK,Utilities,Utilities—Independent Power Producers,Jilin Province Chuncheng Heating Company Limited,15000,0.09722,466700000,2.23,,
1854.HK,Consumer Defensive,Food Distribution,Goal Forward Holdings Limited,80000,0.04794,1260000000,0.2,,2.3255813
1856.HK,Consumer Cyclical,Luxury Goods,Ernest Borel Holdings Limited,60000,-0.57238996,347436992,1.72,,3.03351
1857.HK,Industrials,Waste Management,China Everbright Water Limited,21000,0.14616,2860879872,1.81,,0.60192883
1858.HK,Healthcare,Medical Devices,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",40400,0.24922001,38340800,45.2,44.260773,35.941223
1860.HK,Communication Services,Advertising Agencies,Mobvista Inc.,488000,0.04062,1534200064,3.56,,19.885715
1861.HK,Consumer Cyclical,Specialty Retail,Precious Dragon Technology Holdings Limited,136000,0.06002,233544992,1.1,,1.0615522
1862.HK,Real Estate,Real Estate—Development,Jingrui Holdings Limited,668559,0.09235,1400189952,2.63,3.6054556,6.189377
1865.HK,Industrials,Engineering & Construction,Pipeline Engineering Holding Limited,1328000,0.03346,0,1.04,,
1866.HK,Basic Materials,Agricultural Inputs,China XLX Fertiliser Ltd.,1000,0.05731,1171619968,2.07,3.3754356,4.3710017
1867.HK,Industrials,Consulting Services,LKS Holding Group Limited,20000,0.05697,1120000000,0.175,,1.5624999
1868.HK,Industrials,Electrical Equipment & Parts,Neo-Neon Holdings Limited,111000,0.16450001,2094470016,0.57,8.311825,5.3773584
1869.HK,Consumer Cyclical,Restaurants,Li Bao Ge Group Limited,410000,-0.03609,807753984,0.305,,2.6033058
1872.HK,Consumer Cyclical,Auto & Truck Dealerships,Guan Chao Holdings Limited,795000,0.02417,900000000,0.29,,
1873.HK,Healthcare,Biotechnology,Viva Biotech Holdings,1016000,0.31361,1572450048,4.22,,
1876.HK,Consumer Defensive,Beverages—Brewers,Budweiser Brewing Company APAC Limited,416145,0.13692,13243400192,28.5,,23.199673
1877.HK,Healthcare,Biotechnology,"Shanghai Junshi Biosciences Co., Ltd.",49400,-2.3621001,158910000,25.75,,99.41406
1878.HK,Energy,Thermal Coal,SouthGobi Resources Ltd.,18300,-0.02939,272703008,0.81,,
1882.HK,Industrials,Specialty Industrial Machinery,Haitian International Holdings Limited,617000,0.16597,1596000000,20.4,15.113589,19.067406
1883.HK,Communication Services,Telecom Services,CITIC Telecom International Holdings Limited,4088000,0.109060004,3656960000,2.8,10.486892,1.1336032
1884.HK,Industrials,Specialty Business Services,eprint Group Limited,40000,0.028989999,550000000,0.3,9.523809,0.73529416
1885.HK,Basic Materials,Lumber & Wood Production,China Wood Optimization (Holding) Limited,940000,0.32597,1000000000,2.32,,24.081633
1888.HK,Technology,Electronic Components,Kingboard Laminates Holdings Limited,3669500,0.13736,3080999936,9.06,8.72038,1.57077
1889.HK,Healthcare,Drug Manufacturers—Specialty & Generic,Sanai Health Industry Group Company Limited,2000000,4.58459,3067219968,0.069,,5.307692
1890.HK,Consumer Defensive,Education & Training Services,China Kepei Education Group Limited,72000,0.62769,2000800000,3.75,,
1891.HK,Industrials,Metal Fabrication,Heng Hup Holdings Limited,244000,0.0218,1000000000,0.172,,
1894.HK,Basic Materials,Steel,Hang Yick Holdings Company Limited,400000,0.066,760000000,3.187,,9.937888
1895.HK,Real Estate,Real Estate Services,Xinyuan Property Management Service (Cayman) Ltd.,66000,0.16076,500000000,1.52,,
1896.HK,Communication Services,Internet Content & Information,Maoyan Entertainment,485000,0.09243,1106989952,12.12,,
1897.HK,Industrials,Building Products & Equipment,Million Hope Industries Holdings Limited,286000,0.11147001,436332992,0.69,,0.5822785
1898.HK,Energy,Thermal Coal,China Coal Energy Company Limited,75000,0.042329997,4106660096,2.95,7.646129,2.7977316
1899.HK,Consumer Cyclical,Auto Parts,Xingda International Holdings Limited,71000,0.038680002,1531820032,2.14,10.657667,3.98524
